school_year,division_number,division_name,school_number,school_name,ft_count,pt_count,total_count
2021-2022,22,Clarke County,280,Johnson-Williams Middle,415,2,417
2021-2022,202,Colonial Beach,22,Colonial Beach Elementary,390,NA,390
2021-2022,202,Colonial Beach,21,Colonial Beach High,235,NA,235
2021-2022,106,Colonial Heights City,40,Colonial Heights High,834,NA,834
2021-2022,106,Colonial Heights City,20,Colonial Heights Middle,654,NA,654
2021-2022,106,Colonial Heights City,50,Lakeview Elementary,391,NA,391
2021-2022,106,Colonial Heights City,30,North Elementary,319,NA,319
2021-2022,106,Colonial Heights City,60,Tussing Elementary,588,NA,588
2021-2022,107,Covington City,350,Covington High,347,2,349
2021-2022,107,Covington City,260,Edgemont Primary,315,NA,315
2021-2022,107,Covington City,360,Jeter-Watson Intermediate,301,1,302
2021-2022,23,Craig County,11,Craig County High,300,NA,300
2021-2022,23,Craig County,10,McCleary Elementary,213,NA,213
2021-2022,24,Culpeper County,240,A.G. Richardson Elementary,542,NA,542
2021-2022,24,Culpeper County,480,Culpeper County High,1202,NA,1202
2021-2022,24,Culpeper County,20,Culpeper Middle,1100,NA,1100
2021-2022,24,Culpeper County,50,Eastern View High,1559,NA,1559
2021-2022,24,Culpeper County,450,Emerald Hill Elementary,687,NA,687
2021-2022,24,Culpeper County,470,Farmington Elementary,491,NA,491
2021-2022,24,Culpeper County,581,Floyd T. Binns Middle,836,NA,836
2021-2022,24,Culpeper County,582,Galbreath-Marshall Building,3,NA,3
2021-2022,24,Culpeper County,10,Pearl Sample Elementary,599,NA,599
2021-2022,24,Culpeper County,460,Sycamore Park Elementary,696,NA,696
2021-2022,24,Culpeper County,40,Yowell Elementary,651,NA,651
2021-2022,25,Cumberland County,140,Cumberland Elementary,492,NA,492
2021-2022,25,Cumberland County,151,Cumberland High,371,NA,371
2021-2022,25,Cumberland County,152,Cumberland Middle,345,NA,345
2021-2022,108,Danville City,490,Edwin A. Gibson Elementary,534,NA,534
2021-2022,108,Danville City,20,Forest Hills Elementary,225,NA,225
2021-2022,108,Danville City,190,G.L.H. Johnson Elementary,516,NA,516
2021-2022,108,Danville City,1374,Galileo Magnet High,251,NA,251
2021-2022,108,Danville City,210,George Washington High,1375,NA,1375
2021-2022,108,Danville City,200,Grove Park Preschool,119,NA,119
2021-2022,108,Danville City,260,O. Trent Bonner Middle,726,NA,726
2021-2022,108,Danville City,250,Park Avenue Elementary,394,NA,394
2021-2022,108,Danville City,40,Schoolfield Elementary,504,NA,504
