school_year,division_number,division_name,school_number,school_name,sanction_code,sanction_description,n_sanctions,n_students_sanctioned,locality_grouping,region_name,region_number
2021-2022,4,Amelia County,NA,NA,CR,Class Removal (less than 1/2 day),349,154,division,NA,NA
2021-2022,4,Amelia County,NA,NA,ISS,In-School Suspension (1/2 day or more),437,226,division,NA,NA
2021-2022,4,Amelia County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,15,15,division,NA,NA
2021-2022,4,Amelia County,NA,NA,OSS,Out of school suspension by Division Admin,1,1,division,NA,NA
2021-2022,4,Amelia County,NA,NA,OSS,Out of school suspension by School Admin,426,209,division,NA,NA
2021-2022,4,Amelia County,NA,NA,SBCS,School-based Community Service Assigned,1,1,division,NA,NA
2021-2022,4,Amelia County,NA,NA,SBP,Suspension of Bus Privileges,47,36,division,NA,NA
2021-2022,5,Amherst County,780,Amelon Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Valley,5
2021-2022,5,Amherst County,780,Amelon Elementary,OSS,Out of school suspension by School Admin,6,5,school,Valley,5
2021-2022,5,Amherst County,750,Amherst County High,ALT,Alternative Program Placement,1,1,school,Valley,5
2021-2022,5,Amherst County,750,Amherst County High,ALT,Alternative Program Placement by School Board,2,2,school,Valley,5
2021-2022,5,Amherst County,750,Amherst County High,CR,Class Removal (less than 1/2 day),12,11,school,Valley,5
2021-2022,5,Amherst County,750,Amherst County High,DS,Detention Sanction Outside of Regular School Hours,1,1,school,Valley,5
2021-2022,5,Amherst County,750,Amherst County High,ISS,In-School Suspension (1/2 day or more),492,187,school,Valley,5
2021-2022,5,Amherst County,750,Amherst County High,OSS,Out of school suspension by School Admin,70,58,school,Valley,5
2021-2022,5,Amherst County,750,Amherst County High,SBP,Suspension of Bus Privileges,4,2,school,Valley,5
2021-2022,5,Amherst County,790,Amherst Elementary,CR,Class Removal (less than 1/2 day),6,6,school,Valley,5
2021-2022,5,Amherst County,790,Amherst Elementary,ISS,In-School Suspension (1/2 day or more),4,3,school,Valley,5
2021-2022,5,Amherst County,790,Amherst Elementary,LOP,Loss of School Privileges or Participation in Extr,22,11,school,Valley,5
2021-2022,5,Amherst County,790,Amherst Elementary,OSS,Out of school suspension by School Admin,4,3,school,Valley,5
2021-2022,5,Amherst County,790,Amherst Elementary,SBP,Suspension of Bus Privileges,2,1,school,Valley,5
2021-2022,5,Amherst County,670,Amherst Middle,CR,Class Removal (less than 1/2 day),2,2,school,Valley,5
2021-2022,5,Amherst County,670,Amherst Middle,ISS,In-School Suspension (1/2 day or more),209,114,school,Valley,5
2021-2022,5,Amherst County,670,Amherst Middle,LOP,Loss of School Privileges or Participation in Extr,2,2,school,Valley,5
2021-2022,5,Amherst County,670,Amherst Middle,OSS,Out of school suspension by School Admin,19,16,school,Valley,5
2021-2022,5,Amherst County,770,Central Elementary,CR,Class Removal (less than 1/2 day),4,4,school,Valley,5
2021-2022,5,Amherst County,770,Central Elementary,ISS,In-School Suspension (1/2 day or more),25,18,school,Valley,5
2021-2022,5,Amherst County,770,Central Elementary,LOP,Loss of School Privileges or Participation in Extr,40,22,school,Valley,5
2021-2022,5,Amherst County,770,Central Elementary,OSS,Out of school suspension by School Admin,17,9,school,Valley,5
2021-2022,5,Amherst County,770,Central Elementary,SBP,Suspension of Bus Privileges,6,3,school,Valley,5
2021-2022,5,Amherst County,760,Elon Elementary,CR,Class Removal (less than 1/2 day),18,6,school,Valley,5
2021-2022,5,Amherst County,760,Elon Elementary,ISS,In-School Suspension (1/2 day or more),16,10,school,Valley,5
2021-2022,5,Amherst County,760,Elon Elementary,LOP,Loss of School Privileges or Participation in Extr,11,9,school,Valley,5
2021-2022,5,Amherst County,760,Elon Elementary,OSS,Out of school suspension by School Admin,3,3,school,Valley,5
2021-2022,5,Amherst County,760,Elon Elementary,SBP,Suspension of Bus Privileges,2,2,school,Valley,5
2021-2022,5,Amherst County,500,Madison Heights Elementary,CR,Class Removal (less than 1/2 day),1,1,school,Valley,5
2021-2022,5,Amherst County,500,Madison Heights Elementary,ISS,In-School Suspension (1/2 day or more),47,28,school,Valley,5
2021-2022,5,Amherst County,500,Madison Heights Elementary,LOP,Loss of School Privileges or Participation in Extr,22,14,school,Valley,5
2021-2022,5,Amherst County,500,Madison Heights Elementary,OSS,Out of school suspension by School Admin,10,9,school,Valley,5
2021-2022,5,Amherst County,500,Madison Heights Elementary,SBP,Suspension of Bus Privileges,3,2,school,Valley,5
2021-2022,5,Amherst County,20,Monelison Middle,ISS,In-School Suspension (1/2 day or more),670,210,school,Valley,5
2021-2022,5,Amherst County,20,Monelison Middle,OSS,Out of school suspension by School Admin,72,56,school,Valley,5
2021-2022,5,Amherst County,20,Monelison Middle,SBP,Suspension of Bus Privileges,14,11,school,Valley,5
2021-2022,5,Amherst County,740,Temperance Elementary,ISS,In-School Suspension (1/2 day or more),2,2,school,Valley,5
2021-2022,5,Amherst County,740,Temperance Elementary,LOP,Loss of School Privileges or Participation in Extr,18,9,school,Valley,5
2021-2022,5,Amherst County,NA,NA,ALT,Alternative Program Placement,1,1,division,Valley,5
2021-2022,5,Amherst County,NA,NA,ALT,Alternative Program Placement by School Board,2,2,division,Valley,5
2021-2022,5,Amherst County,NA,NA,CR,Class Removal (less than 1/2 day),44,31,division,Valley,5
2021-2022,5,Amherst County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,1,1,division,Valley,5
2021-2022,5,Amherst County,NA,NA,ISS,In-School Suspension (1/2 day or more),1465,572,division,Valley,5
2021-2022,5,Amherst County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,115,67,division,Valley,5
2021-2022,5,Amherst County,NA,NA,OSS,Out of school suspension by School Admin,201,159,division,Valley,5
2021-2022,5,Amherst County,NA,NA,SBP,Suspension of Bus Privileges,31,21,division,Valley,5
2021-2022,6,Appomattox County,260,Appomattox County High,ALT,Alternative Program Placement,1,1,school,NA,NA
2021-2022,6,Appomattox County,260,Appomattox County High,ALT,Alternative Program Placement by School Board,1,1,school,NA,NA
2021-2022,6,Appomattox County,260,Appomattox County High,CR,Class Removal (less than 1/2 day),7,6,school,NA,NA
2021-2022,6,Appomattox County,260,Appomattox County High,ISS,In-School Suspension (1/2 day or more),59,46,school,NA,NA
2021-2022,6,Appomattox County,260,Appomattox County High,LOP,Loss of School Privileges or Participation in Extr,4,4,school,NA,NA
2021-2022,6,Appomattox County,260,Appomattox County High,OSS,Out of school suspension by Division Admin,2,2,school,NA,NA
2021-2022,6,Appomattox County,260,Appomattox County High,OSS,Out of school suspension by School Admin,120,88,school,NA,NA
2021-2022,6,Appomattox County,260,Appomattox County High,SBP,Suspension of Bus Privileges,6,6,school,NA,NA
2021-2022,6,Appomattox County,110,Appomattox Elementary,CR,Class Removal (less than 1/2 day),2,2,school,NA,NA
2021-2022,6,Appomattox County,110,Appomattox Elementary,ISS,In-School Suspension (1/2 day or more),5,5,school,NA,NA
2021-2022,6,Appomattox County,110,Appomattox Elementary,LOP,Loss of School Privileges or Participation in Extr,4,4,school,NA,NA
2021-2022,6,Appomattox County,110,Appomattox Elementary,OSS,Out of school suspension by School Admin,16,10,school,NA,NA
2021-2022,6,Appomattox County,110,Appomattox Elementary,SBP,Suspension of Bus Privileges,7,5,school,NA,NA
2021-2022,6,Appomattox County,160,Appomattox Middle,ALT,Alternative Program Placement by School Board,3,3,school,NA,NA
2021-2022,6,Appomattox County,160,Appomattox Middle,CR,Class Removal (less than 1/2 day),11,11,school,NA,NA
2021-2022,6,Appomattox County,160,Appomattox Middle,DS,Detention Sanction Outside of Regular School Hours,5,4,school,NA,NA
2021-2022,6,Appomattox County,160,Appomattox Middle,ISS,In-School Suspension (1/2 day or more),177,88,school,NA,NA
2021-2022,6,Appomattox County,160,Appomattox Middle,LOP,Loss of School Privileges or Participation in Extr,7,7,school,NA,NA
2021-2022,6,Appomattox County,160,Appomattox Middle,OSS,Out of school suspension by Division Admin,4,4,school,NA,NA
2021-2022,6,Appomattox County,160,Appomattox Middle,OSS,Out of school suspension by School Admin,140,93,school,NA,NA
2021-2022,6,Appomattox County,160,Appomattox Middle,SBP,Suspension of Bus Privileges,8,7,school,NA,NA
2021-2022,6,Appomattox County,250,Appomattox Primary,CR,Class Removal (less than 1/2 day),3,3,school,NA,NA
2021-2022,6,Appomattox County,250,Appomattox Primary,ISS,In-School Suspension (1/2 day or more),7,6,school,NA,NA
2021-2022,6,Appomattox County,250,Appomattox Primary,LOP,Loss of School Privileges or Participation in Extr,5,5,school,NA,NA
2021-2022,6,Appomattox County,250,Appomattox Primary,OSS,Out of school suspension by School Admin,67,27,school,NA,NA
2021-2022,6,Appomattox County,250,Appomattox Primary,SBP,Suspension of Bus Privileges,15,8,school,NA,NA
2021-2022,6,Appomattox County,NA,NA,ALT,Alternative Program Placement,1,1,division,NA,NA
2021-2022,6,Appomattox County,NA,NA,ALT,Alternative Program Placement by School Board,4,4,division,NA,NA
2021-2022,6,Appomattox County,NA,NA,CR,Class Removal (less than 1/2 day),23,22,division,NA,NA
2021-2022,6,Appomattox County,NA,NA,DS,Detention Sanction Outside of Regular School Hours,5,4,division,NA,NA
2021-2022,6,Appomattox County,NA,NA,ISS,In-School Suspension (1/2 day or more),248,145,division,NA,NA
2021-2022,6,Appomattox County,NA,NA,LOP,Loss of School Privileges or Participation in Extr,20,20,division,NA,NA
2021-2022,6,Appomattox County,NA,NA,OSS,Out of school suspension by Division Admin,6,6,division,NA,NA
2021-2022,6,Appomattox County,NA,NA,OSS,Out of school suspension by School Admin,343,218,division,NA,NA
2021-2022,6,Appomattox County,NA,NA,SBP,Suspension of Bus Privileges,36,26,division,NA,NA
2021-2022,267,Appomattox Regional Governor's School,10,Appomattox Regional Governor's School,OSS,Out of school suspension by School Admin,6,6,school,NA,NA
2021-2022,267,Appomattox Regional Governor's School,NA,NA,OSS,Out of school suspension by School Admin,6,6,division,NA,NA
2021-2022,7,Arlington County,350,Abingdon Elementary,OSS,Out of school suspension by School Admin,6,5,school,Northern Virginia,4
2021-2022,7,Arlington County,160,Alice West Fleet Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,618,Arlington Community High,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,629,Arlington Science Focus School,CR,Class Removal (less than 1/2 day),1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,629,Arlington Science Focus School,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,470,Arlington Traditional,CR,Class Removal (less than 1/2 day),13,1,school,Northern Virginia,4
2021-2022,7,Arlington County,470,Arlington Traditional,OSS,Out of school suspension by School Admin,6,1,school,Northern Virginia,4
2021-2022,7,Arlington County,490,Ashlawn Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,150,Barcroft Elementary,ISS,In-School Suspension (1/2 day or more),4,4,school,Northern Virginia,4
2021-2022,7,Arlington County,150,Barcroft Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,250,Barrett Elementary,CR,Class Removal (less than 1/2 day),2,2,school,Northern Virginia,4
2021-2022,7,Arlington County,250,Barrett Elementary,ISS,In-School Suspension (1/2 day or more),3,3,school,Northern Virginia,4
2021-2022,7,Arlington County,250,Barrett Elementary,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,250,Barrett Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,615,Campbell Elementary,ISS,In-School Suspension (1/2 day or more),2,2,school,Northern Virginia,4
2021-2022,7,Arlington County,615,Campbell Elementary,OSS,Out of school suspension by School Admin,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,90,Carlin Springs Elementary,ISS,In-School Suspension (1/2 day or more),1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,90,Carlin Springs Elementary,OSS,Out of school suspension by School Admin,3,3,school,Northern Virginia,4
2021-2022,7,Arlington County,628,Dorothy Hamm Middle,ISS,In-School Suspension (1/2 day or more),23,17,school,Northern Virginia,4
2021-2022,7,Arlington County,628,Dorothy Hamm Middle,OSS,Out of school suspension by School Admin,11,8,school,Northern Virginia,4
2021-2022,7,Arlington County,611,Gunston Middle,CR,Class Removal (less than 1/2 day),8,4,school,Northern Virginia,4
2021-2022,7,Arlington County,611,Gunston Middle,DS,Detention Sanction Outside of Regular School Hours,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,611,Gunston Middle,ISS,In-School Suspension (1/2 day or more),64,41,school,Northern Virginia,4
2021-2022,7,Arlington County,611,Gunston Middle,LOP,Loss of School Privileges or Participation in Extr,6,6,school,Northern Virginia,4
2021-2022,7,Arlington County,611,Gunston Middle,OSS,Out of school suspension by School Admin,123,72,school,Northern Virginia,4
2021-2022,7,Arlington County,611,Gunston Middle,SBP,Suspension of Bus Privileges,3,3,school,Northern Virginia,4
2021-2022,7,Arlington County,616,HB Woodlawn Secondary Program,ISS,In-School Suspension (1/2 day or more),2,2,school,Northern Virginia,4
2021-2022,7,Arlington County,616,HB Woodlawn Secondary Program,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,616,HB Woodlawn Secondary Program,OSS,Out of school suspension by School Admin,4,4,school,Northern Virginia,4
2021-2022,7,Arlington County,614,Hoffman-Boston Elementary,OSS,Out of school suspension by School Admin,3,2,school,Northern Virginia,4
2021-2022,7,Arlington County,613,Innovation Elementary,ISS,In-School Suspension (1/2 day or more),3,2,school,Northern Virginia,4
2021-2022,7,Arlington County,613,Innovation Elementary,OSS,Out of school suspension by School Admin,6,4,school,Northern Virginia,4
2021-2022,7,Arlington County,440,Jamestown Elementary,OSS,Out of school suspension by School Admin,3,1,school,Northern Virginia,4
2021-2022,7,Arlington County,180,Jefferson Middle,ISS,In-School Suspension (1/2 day or more),51,41,school,Northern Virginia,4
2021-2022,7,Arlington County,180,Jefferson Middle,OSS,Out of school suspension by School Admin,28,22,school,Northern Virginia,4
2021-2022,7,Arlington County,180,Jefferson Middle,SBP,Suspension of Bus Privileges,2,2,school,Northern Virginia,4
2021-2022,7,Arlington County,500,Kenmore Middle,CR,Class Removal (less than 1/2 day),20,15,school,Northern Virginia,4
2021-2022,7,Arlington County,500,Kenmore Middle,DS,Detention Sanction Outside of Regular School Hours,38,28,school,Northern Virginia,4
2021-2022,7,Arlington County,500,Kenmore Middle,ISS,In-School Suspension (1/2 day or more),54,39,school,Northern Virginia,4
2021-2022,7,Arlington County,500,Kenmore Middle,LOP,Loss of School Privileges or Participation in Extr,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,500,Kenmore Middle,OSS,Out of school suspension by Division Admin,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,500,Kenmore Middle,OSS,Out of school suspension by School Admin,49,38,school,Northern Virginia,4
2021-2022,7,Arlington County,500,Kenmore Middle,SBCS,School-based Community Service Assigned,9,6,school,Northern Virginia,4
2021-2022,7,Arlington County,617,Langston High Continuation Program,OSS,Out of school suspension by School Admin,4,3,school,Northern Virginia,4
2021-2022,7,Arlington County,460,Long Branch Elementary,DS,Detention Sanction Outside of Regular School Hours,1,1,school,Northern Virginia,4
2021-2022,7,Arlington County,625,New Directions Alternative H.S. Program,OSS,Out of school suspension by School Admin,6,6,school,Northern Virginia,4
2021-2022,7,Arlington County,360,Oakridge Elementary,ISS,In-School Suspension (1/2 day or more),16,11,school,Northern Virginia,4
2021-2022,7,Arlington County,240,Swanson Middle,DS,Detention Sanction Outside of Regular School Hours,14,12,school,Northern Virginia,4
2021-2022,7,Arlington County,240,Swanson Middle,ISS,In-School Suspension (1/2 day or more),12,9,school,Northern Virginia,4
2021-2022,7,Arlington County,240,Swanson Middle,OSS,Out of school suspension by School Admin,6,6,school,Northern Virginia,4
2021-2022,7,Arlington County,162,Technical Education & Career Center,CR,Class Removal (less than 1/2 day),2,1,school,Northern Virginia,4
2021-2022,7,Arlington County,162,Technical Education & Career Center,ISS,In-School Suspension (1/2 day or more),9,8,school,Northern Virginia,4
2021-2022,7,Arlington County,162,Technical Education & Career Center,LOP,Loss of School Privileges or Participation in Extr,8,8,school,Northern Virginia,4
